Iteration	logLikelihood	logPrior	sigma	e76	e81	aYFP	aCFP	KGR_76	KGS_76	KGR_81	KGS_81	KR6	KS6	KR12	KS12	nR	nS	aR33	aS175	dR	dYFP	dCFP	autoCFP	autoYFP	aL	aT	nL	nT	dL	dT	iA	iI	yb0_exrep	cb0_exrep
10	-186502.538414387	-1541.88652431673	41.7581185757408	0.0206579643167144	0.00665667690114784	31374.2858894154	25385.9585879064	8.38740083472526	0.000145658007306567	0.0158992821755106	11.7747787542079	0.000154518684576134	4.43478703943675E-06	1.01935174658624E-08	0.0273670740263233	0.775066981248353	1.05678622048806	9.33984766803998	2.94541190835089	9.99264544300086	0.145644312085415	0.464254844952844	268.071509077857	7.93478418657481	55.5416663317038	42.8280775353091	0.659300225931076	2.2298423949273	0.497016309829117	2.01632249829418	0.1168095831274	107.992236090586	94.59131405084	1982.24931842619
11	-186512.487405441	-1532.38211740018	41.8137134485776	0.0204867074493809	0.00658030187491891	31126.5820402022	25561.0754117913	8.3057698792478	0.000162686940558138	0.0158883671284167	11.7747787542079	0.000154518684576134	4.17045604389455E-06	1.0023357478302E-08	0.0275148516112307	0.774459759938461	1.05554420557093	9.33984766803998	2.94541190835089	9.99264544300086	0.145323514062663	0.463648018988798	267.721523215267	7.79654726138334	55.5416663317038	42.8280775353091	0.659300225931076	2.2298423949273	0.495398636614187	2.01632249829418	0.1168095831274	107.992236090586	94.1891008294396	1989.33762181243
12	-186499.841786891	-1544.25341111026	41.6205412388494	0.0204155150843433	0.00652070799897662	31126.5820402022	25394.0298330143	8.28225836563437	0.000209588506504662	0.015471779525114	11.7266301811374	0.000158657860482228	3.87098553377209E-06	1.01213588630784E-08	0.0275148516112307	0.774887282193624	1.05580530741963	9.33984766803998	2.96267352759809	9.99264544300086	0.145803302165863	0.462916863030135	268.508744500941	7.89725431484146	56.0495739421509	42.8280775353091	0.652305016225091	2.23148257687849	0.504861376561892	2.02939205705781	0.116012093549839	109.001885100495	94.1891008294396	2002.16354741238
13	-186494.017959161	-1547.15744813022	41.8419134959039	0.0203982701296448	0.00660215461598341	31126.5820402022	25526.898394142	8.28607232456672	0.000305530798096211	0.0156217949196912	11.7807858828382	0.000159223996950558	4.18250243755282E-06	1.00504938202381E-08	0.0272580356111536	0.77257347254492	1.05701973217765	9.34869652070125	2.96267352759809	9.99264544300086	0.146194348997733	0.462916863030135	268.508744500941	7.86926201118453	56.6559398646923	43.2521382594227	0.653705496310057	2.22436544451495	0.514426049821274	2.04964675161355	0.117580921114393	110.432821926369	94.2347542809792	1952.22342120383
14	-186498.881365577	-1540.16174411943	41.7129760680899	0.0205335542881164	0.00673111537541888	31086.6500757553	25526.898394142	8.28607232456672	0.000159653549913547	0.015672189064578	11.7807858828382	0.000158855400043561	3.99595892602383E-06	1.00504938202381E-08	0.0273605532412791	0.773080200369209	1.05559016286864	9.30535105374875	2.95976618294606	9.99264544300086	0.146194348997733	0.462916863030135	269.026181578262	7.86926201118453	56.7766263892457	43.2883257515842	0.653705496310057	2.21947840049091	0.508165803674009	2.04597328016871	0.117580921114393	110.432821926369	94.2347542809792	1966.10700827733
15	-186511.119937519	-1536.84812680145	41.9894637725214	0.02074458085641	0.00677008774737003	31086.6500757553	25508.9059429143	8.2899854049986	0.000128668680002485	0.0154848059513712	11.7676723841864	0.000157336980760253	3.69301967252252E-06	1.01211313749204E-08	0.0276353156941936	0.773216509396209	1.0535264244033	9.35039937928465	2.96521831204024	9.99264544300086	0.145830499907681	0.469565186863802	268.716021386503	7.82630784185687	56.7766263892457	43.2883257515842	0.658139892362611	2.2291836121441	0.512774678843458	2.05372849396846	0.118491609961095	109.291466699403	86.3812284701873	1946.49560178278
16	-186520.735776909	-1525.78805192068	41.9752873442835	0.0207533418148095	0.00677008774737003	31187.1222767851	25508.9059429143	8.3534849966828	0.000129889393575008	0.0154957521774251	11.7676723841864	0.000158744154586885	2.95028670517373E-06	1.01211313749204E-08	0.0273384137455451	0.774667274358327	1.0542015619267	9.35039937928465	2.96521831204024	9.99264544300086	0.145830499907681	0.469565186863802	268.165753982981	8.00394447467587	57.214490982597	43.5765876015479	0.65523639678151	2.21930800196662	0.517311367859183	2.03568765638013	0.119341773616235	108.545494384191	91.4791096461002	1913.2920866595
17	-186515.055914772	-1529.60577022306	41.9752873442835	0.0207723465166232	0.00675409002932404	31187.1222767851	25556.3001684751	8.34248652320164	0.000210087494629936	0.0153970021883597	11.7676723841864	0.000159828235356392	3.2256527832988E-06	1.00282183781694E-08	0.0269911018965727	0.774416663466981	1.04481599106122	9.37114985897926	2.96505386250208	9.99264544300086	0.145830499907681	0.471123025836628	268.165753982981	7.85077402006075	56.6747423943506	43.5765876015479	0.65523639678151	2.21270214981304	0.523748529805458	2.0314340311153	0.119063896042673	109.167785312108	89.820571739279	1941.42509442053
18	-186514.376758986	-1532.19988533719	42.0482623865411	0.0207128873907712	0.00676456216967475	31230.7412167675	25556.3001684751	8.30379220950805	0.000242902669748999	0.0158162425630097	11.7121439424688	0.000159294492652458	3.37118404077361E-06	1.01017802047441E-08	0.0268469421422833	0.775410173020122	1.04591826776143	9.37114985897926	2.95867433224989	9.97321955859779	0.146589769097147	0.465620275507336	268.165753982981	7.67131563164017	55.9794045697332	43.6084940811494	0.663238455328161	2.20792135762533	0.519964929813465	2.03140984824307	0.117463823425833	109.081580315221	96.0075139950462	1887.68760039367
19	-186498.592826322	-1542.94471019754	41.816053663195	0.0206313536299906	0.00671330194499852	31230.7412167675	25529.4966017964	8.22855450145848	0.000161179366308315	0.0157656429345323	11.7121439424688	0.000159294492652458	3.6152387941977E-06	1.02778753906712E-08	0.0268469421422833	0.773714809209726	1.04812349333926	9.37114985897926	2.95867433224989	9.97321955859779	0.14684321487734	0.464571483671786	267.16860678634	7.66735827761291	56.2471405658237	43.5620856115869	0.663238455328161	2.20320207140468	0.519624456814909	2.03956374040622	0.118581187205215	109.081580315221	91.257868087151	1905.37215804668
