C12,C6,F(EYFP/OD),F(ECFP/OD),F(mRFP1/OD),F(EYFP/ECFP),F(EYFP/mRFP1),F(ECFP/mRFP1),P(EYFP/OD),P(ECFP/OD),P(mRFP1/OD),P(EYFP/ECFP),P(EYFP/mRFP1),P(ECFP/mRFP1),mu,K,lag
25000,25000,48503.7943174028,22801.5810120825,64.5599935864735,2.17140305152483,762.904221715082,351.715920009295,3.97263838327604,2.01273954909619,0.00528769990379204,2.01474991170907,762.904221715082,379.062938551119,0.00756185157847291,3.44800444811743,58.5548564221821
2500,25000,37260.8390847998,40015.2787090237,82.5278913739158,0.93646304466956,458.756147578213,490.708605941559,3.20348928718253,3.71453594807791,0.00709531031516553,0.867326407286394,458.756147578213,529.824148446398,0.00786319692522103,3.47702449093405,76.0115438270617
250,25000,6822.19118826802,28321.6980147899,60.4549321820485,0.230575795097964,114.039366376158,483.906381492981,0.90094047449768,4.10475665627489,0.00798369523555487,0.21009600708857,114.039366376158,531.076721599405,0.0109620973772358,3.24477396673042,93.7349248633623
25,25000,2000.88442669259,26057.2908937588,60.0457925579497,0.0730958333508024,33.2164072381121,445.066186455722,0.270272977800566,3.86616525504102,0.00811079087954012,0.06654602090622,33.2164072381121,488.871961872686,0.0111484423860581,3.17647710208253,96.8964701444298
2.5,25000,1676.90927704865,28371.3143153364,63.6953195236746,0.0563019267375897,25.9850007936088,453.150887867253,0.247799990081506,4.62093030232791,0.00941237535162551,0.0510816611327607,25.9850007936088,499.460423251842,0.0119146308885731,3.21082211735656,111.49032212758
25000,0.0,27378.7771127263,1798.76302268136,65.3447066479735,14.2619953658896,425.64989477301,28.9684104282094,3.18101734229552,0.228242478694008,0.00759210845022722,13.0589950615771,425.64989477301,31.6369929949582,0.00995148842166296,3.12518392558457,78.4736480687923
25000,2500,25565.5669595846,9017.07327460041,55.7693522839641,2.68918247294403,461.240584448586,167.08075724208,2.92378189962334,1.12554687759306,0.0063780092582864,2.46383617915168,461.240584448586,182.362223488544,0.0098320911032288,3.18174358980715,76.9819833601294
2500,2500,21187.1187804393,16769.7398524767,55.4956797294695,1.21420150490502,386.869743570486,312.273950401205,2.46293085850568,2.1290501881699,0.006451184964595,1.11176119639136,386.869743570486,341.047611438948,0.00995548061212922,3.31020584661942,63.920865144743
250,2500,12255.5956596812,16875.2703377205,56.8181060940301,0.676566131115971,216.911759952271,310.993906222876,1.47266222867682,2.21742250982535,0.00682740203521098,0.618701635527601,216.911759952271,340.079824994204,0.0102096178557373,3.19001729100764,56.5642065559559
25,2500,1716.60727001986,16008.0777634292,62.1070607657012,0.0984313349768236,27.2040686673816,266.200646331325,0.218556995083953,2.23368618960293,0.0079074187855974,0.0898140261122327,27.2040686673816,291.741570045447,0.0106656699856919,2.97725827676235,80.9804160663582
2.5,2500,1062.31615571132,14567.9666027195,54.8806902725757,0.0653634803868963,19.0315702918492,276.896483613663,0.162712800581969,2.46273499179097,0.00840596348282316,0.0592221757483898,19.0315702918492,305.610485382654,0.0122319893528493,3.02764404074956,93.7927910396207
2500,0.0,21338.6470490194,1084.31979054332,64.0529490027405,19.2634220251806,337.552839552565,17.3114184642995,2.49649682854631,0.138582094019039,0.0074938201881796,17.6338784537651,337.552839552565,18.9111635654437,0.0100042559459211,3.06574982778168,49.3446916526907
25000,250,23166.1102900482,3207.96936190564,56.1237538947161,6.55738184349608,417.447005166223,60.1438751648133,2.65161161208409,0.400783166429812,0.00642397000090728,6.00769679799752,417.447005166223,65.6468474132546,0.00983845193247769,3.07088539874035,46.5699451854801
