C12,C6,F(EYFP/OD),F(ECFP/OD),F(mRFP1/OD),F(EYFP/ECFP),F(EYFP/mRFP1),F(ECFP/mRFP1),P(EYFP/OD),P(ECFP/OD),P(mRFP1/OD),P(EYFP/ECFP),P(EYFP/mRFP1),P(ECFP/mRFP1),mu,K,lag
25,250,935.237422635757,10778.1518931674,69.2103330879814,0.0735432494959797,13.3767021858803,163.976657116183,0.164349838978608,2.10136373507651,0.0121623737709388,0.0662877515785332,13.3767021858803,181.924653026209,0.0135108611346831,3.18942797251715,125.752717015266
2.5,250,944.018657901154,10925.9713652838,69.483058628178,0.0735497399423031,13.4435363491505,165.038906677978,0.165055799223937,2.11902965261384,0.01214868125583,0.0663062360427848,13.4435363491505,183.068281220107,0.0134619611472255,3.22588938609004,121.093193015146
0.0,250,952.010598577736,10034.6462832039,66.375875104499,0.0802326149833814,14.2714054671719,159.263194569791,0.169076208913582,1.97799511265263,0.0117882945239855,0.0722883845308626,14.2714054671719,176.765640204422,0.0136135470382189,3.16350146953917,116.409058746483
25000,25,8848.51996789327,891.673173255053,60.5918852228085,9.18968012781115,144.535342442343,15.1828239677354,1.72259723474661,0.19332815794731,0.0117958047573627,8.25133259529435,144.535342442343,16.9094257308114,0.0145314378516616,3.21276878406774,103.96467185459
2500,25,7930.15783563973,861.827226759729,58.0109841748885,8.70238598111072,137.061775820536,15.2765558267496,1.44589645539906,0.174576982866362,0.0105770752778359,7.8329784243964,137.061775820536,16.9721500639274,0.0138714331742957,3.1678232188488,93.0729698541595
250,25,6633.59588811768,1138.42537813591,63.5146666262395,5.60107556813643,104.693863576126,18.3000782248832,1.20648893122861,0.230011593486804,0.0115517652186946,5.04197403300577,104.693863576126,20.3293631362226,0.0138468436047179,3.16001465708793,110.641202034728
25,25,1394.521823637,4190.1974291078,69.6442602943205,0.275330247533806,19.521356099472,63.5528780747827,0.243889705659977,0.812893872739806,0.0121801737743977,0.248211966661982,19.521356099472,70.4963176720837,0.0134645824762429,3.1746483944732,121.646551639077
2.5,25,804.165628185328,4025.96214228234,66.5590612717188,0.165528403722353,11.8732617226025,64.1561149576932,0.146463893890548,0.814607704576472,0.0121225018153958,0.148997427424246,11.8732617226025,71.2741117854133,0.0138607314271604,3.17302883602961,109.321561405707
0.0,25,828.079359018196,4938.65476553363,72.3321306720613,0.141021979628532,11.190926122056,71.2205735247492,0.13354181574627,0.880753003697317,0.011664780629475,0.127522453412304,11.190926122056,78.7599830460169,0.0126996601928204,3.16815169774346,106.455452669449
25000,2.5,9476.67915425304,948.915870872483,65.1621563030073,9.44018800801981,143.898750782573,14.8612991088161,1.51673417321363,0.167902191705476,0.0104291458702285,8.53896598319522,143.898750782573,16.4297946503992,0.012629979944406,3.1482246035559,88.4898682210695
2500,2.5,9155.13022366071,1030.351822027,62.7573465862322,8.44997335032578,143.878874855119,16.6312328754064,1.55411652521755,0.193797150288858,0.0106532869577763,7.6262765213976,143.878874855119,18.4275346148204,0.0131792128637745,3.13453412595536,114.293450042845
250,2.5,9472.83871975113,1257.57586542124,75.6625692661003,7.29114034619213,123.498292976337,16.7115690056475,1.53097781048312,0.224780609829217,0.0122284056614431,6.59264301692393,123.498292976337,18.4821769831097,0.0127196857103964,3.11439230614397,129.532337073746
25,2.5,4243.57442038806,1299.15506231505,73.165858866444,3.08954358548537,55.8649136453457,17.7132392797354,0.69774202746417,0.236397566692302,0.0120301636425553,2.79174260465907,55.8649136453457,19.602747296095,0.0128792282666817,3.08151971156329,130.668706885305
2.5,2.5,1006.64971070163,1479.75903031775,75.5559324236849,0.616606385894012,12.6690513217673,19.8265971036479,0.168862708006095,0.274912248270807,0.0126742989337336,0.556750100606849,12.6690513217673,21.9581574773525,0.0130667735278736,3.07332798685815,122.149853951728
0.0,2.5,897.877404161578,1657.66520544478,84.8055220007003,0.481889632649093,9.97797506822775,20.1213937383249,0.134018099774566,0.272814372478062,0.0126581589605063,0.43704239959291,9.97797506822775,22.1861564140708,0.0120026883617953,3.04633614515712,117.007010148782
25000,0.0,10206.3478734499,1035.81635786207,67.1313248939025,9.43722748104527,150.360451067019,15.6662028394736,1.59998165927384,0.179374617134042,0.0105237338492453,8.54300851799086,150.360451067019,17.3060251138647,0.0124408557291761,3.16170308925431,90.7832751927569
2500,0.0,10327.1176493959,1144.32196751025,70.9343250939092,8.64882648138673,144.505012629605,16.3677943449434,1.62083577804922,0.198408954515233,0.0111331056648423,7.82895939476533,144.505012629605,18.0818683600647,0.0124516115225954,3.1862718683732,115.909643465794
250,0.0,9856.86781644157,1233.09714783453,75.7315902737584,7.73023486990658,127.571287413639,16.2951948218377,1.5837420549141,0.219069704629346,0.0121680950415113,6.99122334552511,127.571287413639,18.0176883212175,0.0126657600061105,3.14304415272053,131.351954810806
25,0.0,4288.55823738736,1278.50971008584,78.7949199358482,3.22488978395257,52.3346541891241,16.0406612788127,0.649687010319834,0.213681126000129,0.0119368872072724,2.92311307368755,52.3346541891241,17.6966690585901,0.012133993432745,3.07571414270031,124.26403657037
2.5,0.0,974.610551995577,1281.67572314515,77.2766011971539,0.721004152134282,11.9255560326807,16.3274324002336,0.155401810809003,0.225900264457446,0.0123217666119188,0.652265113101164,11.9255560326807,18.0481008685105,0.0125956269386776,3.05934936213585,121.012842794735
0.0,0.0,682.917927354115,1186.25418003334,73.4013942988246,0.550576374176518,8.93991220480539,16.0552025754128,0.123592669002006,0.238447093475884,0.0132839889926573,0.495709784874539,8.93991220480539,17.8322387218512,0.0137980395329796,3.15520918231156,131.607013993875
