C12,C6,F(EYFP/OD),F(ECFP/OD),F(mRFP1/OD),F(EYFP/ECFP),F(EYFP/mRFP1),F(ECFP/mRFP1),P(EYFP/OD),P(ECFP/OD),P(mRFP1/OD),P(EYFP/ECFP),P(EYFP/mRFP1),P(ECFP/mRFP1),mu,K,lag
25000,25000,48919.4491702899,28045.1380906664,62.7062444662049,1.78002205172242,790.160450503539,445.925945666784,4.2264994848034,2.61664519486615,0.00541763888239627,1.64830429078777,790.160450503539,481.56036549701,0.00789416042477349,3.22490522032284,139.19692983169
2500,25000,32762.3908447241,18470.9444785713,41.1966826092068,1.80155594673477,797.107425205051,444.336632225825,3.1753450989306,1.94167479279988,0.00399280030677034,1.66102323860121,797.107425205051,481.930224415556,0.00864813751880575,3.36159339290785,143.736341852333
250,25000,19093.175126282,24282.9520896417,43.6736574318406,0.779318624762363,435.102884838228,555.848876092077,2.69143897191385,3.76604427016601,0.0061563874463325,0.708333037458164,435.102884838228,611.553264896765,0.0115072537817613,3.26704452880354,164.917463504793
25,25000,6841.3069603602,44616.4153526604,62.376703360623,0.152351565392291,111.228175305445,724.59792830613,0.833438011351007,5.9468346990064,0.00759900350981651,0.139248317163678,111.228175305445,792.782497526979,0.0103164756916364,3.17617749759406,154.326207221905
2.5,25000,2617.88435462874,39959.5127506817,59.245113734573,0.0647136861537783,44.4623768394197,679.846954800034,0.354603812782192,5.94606904238014,0.00802500812606505,0.0589086836078778,44.4623768394197,746.840699384561,0.0111716479265534,3.1578709488027,152.545731026665
0.0,25000,3414.9624944346,57881.8650978997,79.8259610411258,0.0591633810702038,43.1518192161926,723.457259415849,0.365207238200454,6.73895923476412,0.00853684888663861,0.054344564234432,43.1518192161926,787.607337178836,0.00933768770624047,3.15843104729,153.047737739367
25000,2500,23423.4150583983,14902.1226743897,49.2699937743879,1.52354610787016,475.450256410256,305.878330154694,3.40306309488292,2.3847638877223,0.00715817471878909,1.3831782042026,475.450256410256,336.919521991505,0.011766732390957,3.21613687341377,150.376228396969
2500,2500,32586.8891164674,21516.4030260746,58.1264657177249,1.5101684622075,568.75677532892,376.129705438699,3.66689807087364,2.64098244770914,0.00654078467709022,1.38447617721047,568.75677532892,410.277351248761,0.00971089225208596,3.13509437670095,142.829716494797
250,2500,21841.9969041756,19601.2782369085,43.8029812386949,1.09835085240323,497.986289334168,449.183634903834,3.01596872481798,2.97546012747962,0.00604836737452504,0.999092830321175,497.986289334168,493.809197012863,0.0113323577520084,3.24499567842839,163.818371164617
25,2500,8367.68402766542,26350.103479281,48.4498189403986,0.299484440911783,173.300704368899,554.542619980522,1.27753975022858,4.43965387624872,0.00739709690077842,0.271379242579393,173.300704368899,611.973432190694,0.0122032178996328,3.16067571076358,157.108486082216
2.5,2500,2630.60986922999,35089.3139938383,67.1697700360911,0.0726653417610982,39.033817595096,524.836024636439,0.338961798212084,4.9574361940557,0.00865502190318707,0.0662734188003028,39.033817595096,575.45528492592,0.0107620484718365,3.09415857432801,151.21114630504
0.0,2500,1641.10576956918,33280.1545336564,64.7612355261772,0.0475022436510598,25.205447424085,516.283499298752,0.223866685633512,4.98852185281675,0.00883421618740786,0.0432295261712442,25.205447424085,567.311898806436,0.0112303901894168,3.11827405029107,153.515647833494
25000,250,23911.481564822,6153.06199144399,57.5163967649209,3.51959178449449,417.341868552641,110.618041699316,3.48449344172862,0.987761191692164,0.00838155957739038,3.19495534281238,417.341868552641,121.857838062635,0.0117929744804578,3.08990844073408,147.550501244449
2500,250,21868.6088315225,11436.8912332645,46.2862654269711,1.83007326178587,473.706716445702,250.629692387904,3.27052219373948,1.88608071998606,0.00692226284307663,1.65963328151196,473.706716445702,276.36870371198,0.0120199271196539,3.17175624328415,165.765769902226
